"","ibge7","municipio","X2000","X2010","long","latit"
"91",3108503,"Botumirim",31.73,23.13,-43.0039,-16.522
"92",3108552,"Brasilândia de Minas",21.42,13.82,-46.0034,-17.0035
"93",3108602,"Brasília de Minas",31.96,20.05,-44.26,-16.1223
"94",3108701,"Brás Pires",18.52,16.64,-43.1432,-20.5514
"95",3108800,"Braúnas",29.96,22.74,-45.3627,-22.2825
"96",3108909,"Brazópolis",17.34,12.39,-42.4256,-19.0321
"97",3109006,"Brumadinho",12.7,7.95,-44.1159,-20.0836
"98",3109105,"Bueno Brandão",18.14,12.48,-46.2103,-22.2627
"99",3109204,"Buenópolis",28.95,19.8,-44.1048,-17.5224
"100",3109253,"Bugre",35.17,23.22,-42.144,-19.2534
"101",3109303,"Buritis",28.1,19.59,-46.2524,-15.3704
"102",3109402,"Buritizeiro",27.94,18.3,-44.5744,-17.2104
"103",3109451,"Cabeceira Grande",26.86,18.11,-47.0526,-16.0147
"104",3109501,"Cabo Verde",18.09,13.1,-46.2346,-21.2819
"105",3109600,"Cachoeira da Prata",7.18,4.71,-44.2713,-19.3129
"106",3109709,"Cachoeira de Minas",13.83,10.3,-45.4644,-22.2118
"107",3102704,"Cachoeira de Pajeú",44.77,34.59,-41.2953,-15.5758
"108",3109808,"Cachoeira Dourada",25.4,15.35,-49.3005,-18.3054
"109",3109907,"Caetanópolis",10.22,6.46,-44.2507,-19.1743
"110",3110004,"Caeté",10.9,6.23,-43.4011,-19.5248
"111",3110103,"Caiana",24.07,16.87,-41.553,-20.4144
"112",3110202,"Cajuri",21.35,14.65,-42.4748,-20.4726
"113",3110301,"Caldas",14.47,9.63,-46.231,-21.5525
"114",3110400,"Camacho",28.56,16.35,-45.0924,-20.3731
"115",3110509,"Camanducaia",19.11,13.41,-46.0841,-22.4519
"116",3110608,"Cambuí",14.46,8.9,-46.0327,-22.3644
"117",3110707,"Cambuquira",16.72,11.3,-45.1745,-21.5108
"118",3110806,"Campanário",29.69,22.98,-41.4454,-18.1419
