Número Reds;Data/Hora Ocorrência;Faixa 1 Hora Fato;Mês;Ano;Dia da Semana;Status Registro;Natureza Principal;Tentado/Consumado Nat Principal;Causa Presumida;Meio Utilizado;Perímetro;Local Imediato;Bairro;Município (Código);Município (Fato);UF - Sigla
2025-009747619-001;28/2/25 11:21 PM;De 23:00 as 23:59;2;2025;Sexta-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CONDOMINIO FECHADO;PIRATININGA;310620;BELO HORIZONTE;MG
2025-009656379-001;28/2/25 9:30 AM;De 09:00 as 09:59;2;2025;Sexta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;USO DE SINAIS, GESTOS OU IMAGENS;URBANO;OUTROS - ESTABELECIMENTOS COMERCIAIS / SERVIC;SANTA BRANCA;310620;BELO HORIZONTE;MG
2025-009461009-001;27/2/25 2:25 PM;De 14:00 as 14:59;2;2025;Quinta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;JARDIM EUROPA;312510;EXTREMA;MG
2025-009441970-001;27/2/25 5:00 AM;De 05:00 as 05:59;2;2025;Quinta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;BAR / LANCHONETE / RESTAURANTE / SIMILAR;PRADO;310620;BELO HORIZONTE;MG
2025-009504090-001;26/2/25 3:30 PM;De 15:00 as 15:59;2;2025;Quarta-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;BAR / LANCHONETE / RESTAURANTE / SIMILAR;CENTRO;315180;POCOS DE CALDAS;MG
2025-009098384-001;25/2/25 3:32 PM;De 15:00 as 15:59;2;2025;Terça-Feira;FECHADO;OUTRAS ACOES DEFESA SOCIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;LOJA DIVERSA;CENTRO;312230;DIVINOPOLIS;MG
2025-009130720-001;24/2/25 10:08 PM;De 22:00 as 22:59;2;2025;Segunda-Feira;FECHADO;OUTRAS INFRACOES CONTRA DIGNIDADE SEXUAL E A FAMILIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CASA;ITAIPU;310620;BELO HORIZONTE;MG
2025-009048099-001;24/2/25 8:30 PM;De 20:00 as 20:59;2;2025;Segunda-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;;311090;CAMPANHA;MG
2025-008941617-001;24/2/25 5:33 PM;De 17:00 as 17:59;2;2025;Segunda-Feira;FECHADO;AMEACA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;MERCEARIA / SACOLAO / SUPERMERCADO;CENTRO;314800;PATOS DE MINAS;MG
2025-008933006-001;24/2/25 5:19 PM;De 17:00 as 17:59;2;2025;Segunda-Feira;FECHADO;DIFAMACAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CLUBE SOCIAL / LAZER / ESPORTIVO;ALIPIO DE MELO;310620;BELO HORIZONTE;MG
2025-008899276-001;24/2/25 2:49 PM;De 14:00 as 14:59;2;2025;Segunda-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;ESCRITA FISICA;URBANO;INSTITUICAO DE ENSINO PUBLICO ESTADUAL;CENTRO;313670;JUIZ DE FORA;MG
2025-009279891-001;24/2/25 12:00 PM;De 12:00 as 12:59;2;2025;Segunda-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;NOVO SANTO ANTONIO;312610;FORMIGA;MG
2025-008853790-001;24/2/25 10:20 AM;De 10:00 as 10:59;2;2025;Segunda-Feira;FECHADO;AMEACA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO ELETRONICO (INTERNET OU SMS);URBANO;CASA;VILA IPE;314510;NOVA RESENDE;MG
2025-008865544-001;24/2/25 9:56 AM;De 09:00 as 09:59;2;2025;Segunda-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;OFERECIMENTO DE VANTAGEM A VITIMA;URBANO;INSTITUICAO DE ENSINO PUBLICO ESTADUAL;SANTA EFIGENIA;313190;ITABIRITO;MG
2025-008643896-001;22/2/25 9:40 PM;De 21:00 as 21:59;2;2025;Sabado;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CASA;CENTRO;311790;CONGONHAL;MG
2025-008542406-001;22/2/25 7:41 AM;De 07:00 as 07:59;2;2025;Sabado;FECHADO;RACISMO - IMPEDE ACESSO A COMERCIO/NAO SERVE CLIENTE;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;OUTROS MEIOS;URBANO;BAR / LANCHONETE / RESTAURANTE / SIMILAR;CENTRO;310620;BELO HORIZONTE;MG
2025-009126630-001;21/2/25 4:40 PM;De 16:00 as 16:59;2;2025;Sexta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CASA;CABANA DO PAI TOMAS;310620;BELO HORIZONTE;MG
2025-008267140-002;20/2/25 4:30 PM;De 16:00 as 16:59;2;2025;Quinta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;INSTITUICAO DE ENSINO PARTICULAR;SAO JOSE;310620;BELO HORIZONTE;MG
2025-008146963-001;20/2/25 6:00 AM;De 06:00 as 06:59;2;2025;Quinta-Feira;FECHADO;OUTRAS ACOES DEFESA SOCIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;VILA VASSALO;314190;MINDURI;MG
2025-008436092-001;19/2/25 9:14 PM;De 21:00 as 21:59;2;2025;Quarta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;LIBERDADE;310620;BELO HORIZONTE;MG
2025-008049854-001;19/2/25 8:35 AM;De 08:00 as 08:59;2;2025;Quarta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;ORGAO/SECRETARIA MUNICIPAL;SAO JOAQUIM;314390;MURIAE;MG
2025-008040747-001;18/2/25 4:30 PM;De 16:00 as 16:59;2;2025;Terça-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO ELETRONICO (INTERNET OU SMS);URBANO;HOTEL/APART-HOTEL/POUSADA/PENSAO;SERRA;310620;BELO HORIZONTE;MG
2025-007869664-001;17/2/25 8:45 PM;De 20:00 as 20:59;2;2025;Segunda-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;ESCRITA FISICA;URBANO;INSTITUICAO DE ENSINO PUBLICO ESTADUAL;VILA VASSALO;314190;MINDURI;MG
2025-007699627-001;17/2/25 7:16 PM;De 19:00 as 19:59;2;2025;Segunda-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;DROGARIA / FARMACIA;ALTO DOS PASSOS;313670;JUIZ DE FORA;MG
2025-007664669-001;17/2/25 10:26 AM;De 10:00 as 10:59;2;2025;Segunda-Feira;FECHADO;DIFAMACAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO ELETRONICO (INTERNET OU SMS);URBANO;OUTROS - ESTABELECIMENTOS COMERCIAIS / SERVIC;CARLOS PRATES;310620;BELO HORIZONTE;MG
2025-007559118-001;17/2/25 12:28 AM;De 00:00 as 00:59;2;2025;Segunda-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CASA;RECANTO DA LAGOA;312980;IBIRITE;MG
2025-007550342-001;16/2/25 11:48 PM;De 23:00 as 23:59;2;2025;Domingo;FECHADO;OUTRAS ACOES DEFESA SOCIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;CENTRO;314000;MARIANA;MG
2025-007666774-001;16/2/25 10:00 PM;De 22:00 as 22:59;2;2025;Domingo;FECHADO;VIAS DE FATO / AGRESSAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS;URBANO;VIA DE ACESSO PUBLICA;CENTRO;313670;JUIZ DE FORA;MG
2025-007321727-001;15/2/25 12:24 PM;De 12:00 as 12:59;2;2025;Sabado;FECHADO;ATRITO VERBAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;APARTAMENTO;PAULO VI;310620;BELO HORIZONTE;MG
2025-007279072-001;15/2/25 1:48 AM;De 01:00 as 01:59;2;2025;Sabado;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;PARQUE DO ENGENHO;314480;NOVA LIMA;MG
2025-007355355-001;14/2/25 9:40 PM;De 21:00 as 21:59;2;2025;Sexta-Feira;FECHADO;RACISMO - PRATICA/INDUZ/INCITA/PRECONCEITO COR/DIVERSO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;LOJA DE DEPARTAMENTOS;SAO DIMAS;313670;JUIZ DE FORA;MG
2025-007225497-001;14/2/25 8:14 PM;De 20:00 as 20:59;2;2025;Sexta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;VIOLENCIA OU VIAS DE FATO;URBANO;SHOPPING CENTER;SAO PEDRO;310620;BELO HORIZONTE;MG
2025-007195718-001;14/2/25 4:29 PM;De 16:00 as 16:59;2;2025;Sexta-Feira;FECHADO;AMEACA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;BAR / LANCHONETE / RESTAURANTE / SIMILAR;CENTRO;310620;BELO HORIZONTE;MG
2025-009250413-001;14/2/25 3:00 PM;De 15:00 as 15:59;2;2025;Sexta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;CENTRO;312610;FORMIGA;MG
2025-007657340-001;14/2/25 1:30 PM;De 13:00 as 13:59;2;2025;Sexta-Feira;FECHADO;AMEACA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;INSTRUMENTO CONTUNDENTE / CORTANTE / PERFURANTE (ARMA BRANCA);URBANO;OUTROS - AREA / EDIFICACAO ESPECIAL;VILA SAO CRISTOVAO;317010;UBERABA;MG
2025-007083115-001;14/2/25 12:10 AM;De 00:00 as 00:59;2;2025;Sexta-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS;URBANO;VIA DE ACESSO PUBLICA;CENTRO;311460;CARRANCAS;MG
2025-007026012-001;13/2/25 5:30 PM;De 17:00 as 17:59;2;2025;Quinta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;VILA PINTO;317070;VARGINHA;MG
2025-006780959-001;12/2/25 2:33 PM;De 14:00 as 14:59;2;2025;Quarta-Feira;FECHADO;VIAS DE FATO / AGRESSAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS;URBANO;APARTAMENTO;ALTO DA FIGUEIRA II;317070;VARGINHA;MG
2025-006764420-001;12/2/25 11:40 AM;De 11:00 as 11:59;2;2025;Quarta-Feira;FECHADO;AMEACA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;INSTITUICAO DE ENSINO PUBLICO MUNICIPAL;CARNEIRINHOS;313620;JOAO MONLEVADE;MG
2025-006833992-002;12/2/25 12:00 AM;De 00:00 as 00:59;2;2025;Quarta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;VIOLENCIA OU VIAS DE FATO;URBANO;OFICINA ELETRICA / LANTERNAGEM / MECANICA;TIROL;310620;BELO HORIZONTE;MG
2025-006692314-001;11/2/25 9:11 PM;De 21:00 as 21:59;2;2025;Terça-Feira;FECHADO;AMEACA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO ELETRONICO (INTERNET OU SMS);URBANO;CASA;SAO JUDAS TADEU;313380;ITAUNA;MG
2025-006523894-001;10/2/25 10:07 PM;De 22:00 as 22:59;2;2025;Segunda-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;HOSPITAL/SANTA CASA;BALEIA;310620;BELO HORIZONTE;MG
2025-006500363-001;10/2/25 10:00 AM;De 10:00 as 10:59;2;2025;Segunda-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;HOSPITAL/SANTA CASA;VILA SAO MATEUS;314330;MONTES CLAROS;MG
2025-006391665-001;9/2/25 9:00 PM;De 21:00 as 21:59;2;2025;Domingo;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO ELETRONICO (INTERNET OU SMS);URBANO;VIA DE ACESSO PARTICULAR/PRIVADA;CORREGO DOS LANAS;316570;SENADOR FIRMINO;MG
2025-006275456-001;9/2/25 7:16 PM;De 19:00 as 19:59;2;2025;Domingo;FECHADO;AMEACA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;JARDIM / PARQUE / PRACA;CENTRO;310910;BUENO BRANDAO;MG
2025-006257859-001;9/2/25 5:02 PM;De 17:00 as 17:59;2;2025;Domingo;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CASA;SANTO ANTONIO;315200;POMPEU;MG
2025-006252646-001;9/2/25 1:50 AM;De 01:00 as 01:59;2;2025;Domingo;FECHADO;LESAO CORPORAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;AGRESSAO FISICA SEM EMPREGO DE INSTRUMENTOS;URBANO;VIA DE ACESSO PUBLICA;CENTRO;312900;GUIRICEMA;MG
2025-006361490-001;8/2/25 11:30 AM;De 11:00 as 11:59;2;2025;Sabado;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;RURAL;OUTROS - RESIDENCIAS URBANAS;RECANTO DA SERRA;310900;BRUMADINHO;MG
2025-007128886-001;7/2/25 11:00 AM;De 11:00 as 11:59;2;2025;Sexta-Feira;FECHADO;AMEACA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;PARAGUAI;312410;ESMERALDAS;MG
2025-005969612-001;6/2/25 8:15 PM;De 20:00 as 20:59;2;2025;Quinta-Feira;FECHADO;AMEACA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;SAO VICENTE DE PAULA;311940;CORONEL FABRICIANO;MG
2025-005669849-001;5/2/25 3:35 PM;De 15:00 as 15:59;2;2025;Quarta-Feira;FECHADO;DIFAMACAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO ELETRONICO (INTERNET OU SMS);URBANO;VIA DE ACESSO PUBLICA;;314510;NOVA RESENDE;MG
2025-005496340-001;4/2/25 8:29 PM;De 20:00 as 20:59;2;2025;Terça-Feira;FECHADO;OUTROS INFRACOES C/ A PESSOA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CASA DENTRO DE CONDOMÍNIO FECHADO;;313760;LAGOA SANTA;MG
2025-005453501-001;4/2/25 5:09 PM;De 17:00 as 17:59;2;2025;Terça-Feira;FECHADO;OUTROS INFRACOES C/ A PESSOA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO UTILIZADO - IGNORADO;URBANO;CASA;VISTA ALEGRE;310620;BELO HORIZONTE;MG
2025-005330777-001;3/2/25 8:42 PM;De 20:00 as 20:59;2;2025;Segunda-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO ELETRONICO (INTERNET OU SMS);URBANO;VIA DE ACESSO PUBLICA;CENTRO;315810;SANTA MARIA DO SALTO;MG
2025-005895198-001;3/2/25 8:30 AM;De 08:00 as 08:59;2;2025;Segunda-Feira;FECHADO;OUTRAS ACOES DEFESA SOCIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;HOSPITAL/SANTA CASA;PRESIDENTE ROOSEVELT;317020;UBERLANDIA;MG
2025-005085605-002;2/2/25 1:17 PM;De 13:00 as 13:59;2;2025;Domingo;FECHADO;AMEACA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CASA;JARDIM FLAMBOYANT;315250;POUSO ALEGRE;MG
2025-005197359-001;2/2/25 8:35 AM;De 08:00 as 08:59;2;2025;Domingo;FECHADO;AMEACA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;EDIFICIO RESIDENCIAL;CENTRO;310620;BELO HORIZONTE;MG
2025-005215939-001;2/2/25 1:30 AM;De 01:00 as 01:59;2;2025;Domingo;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;VIOLENCIA OU VIAS DE FATO;URBANO;BAR / LANCHONETE / RESTAURANTE / SIMILAR;SANTA MARIA;311330;CARANGOLA;MG
2025-005261693-001;1/2/25 10:29 PM;De 22:00 as 22:59;2;2025;Sabado;FECHADO;INJURIA;TENTADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;SAO LUIZ;310620;BELO HORIZONTE;MG
2025-004979755-001;1/2/25 1:51 PM;De 13:00 as 13:59;2;2025;Sabado;FECHADO;AMEACA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;RURAL;CASA;;316860;TEOFILO OTONI;MG
2025-004927811-001;31/1/25 11:00 PM;De 23:00 as 23:59;1;2025;Sexta-Feira;FECHADO;LESAO CORPORAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;OUTROS MEIOS;URBANO;VIA DE ACESSO PUBLICA;EDGAR MOREIRA;310690;BICAS;MG
2025-004872010-001;31/1/25 7:37 PM;De 19:00 as 19:59;1;2025;Sexta-Feira;FECHADO;AMEACA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;PRIMAVERA;312230;DIVINOPOLIS;MG
2025-004848143-001;31/1/25 5:35 PM;De 17:00 as 17:59;1;2025;Sexta-Feira;FECHADO;DIFAMACAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;ESCRITA FISICA;URBANO;CASA;MATINHA;314810;PATROCINIO;MG
2025-004821138-001;31/1/25 1:30 PM;De 13:00 as 13:59;1;2025;Sexta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;ESCRITA FISICA;URBANO;MERCEARIA / SACOLAO / SUPERMERCADO;JARDIM FLORESTA;313820;LAVRAS;MG
2025-004832140-001;31/1/25 12:00 PM;De 12:00 as 12:59;1;2025;Sexta-Feira;FECHADO;ATENDIMENTO DE DENUNCIA DE INFRACOES DE DISCRIMINACAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;CENTRO;313670;JUIZ DE FORA;MG
2025-004672726-001;30/1/25 4:09 PM;De 16:00 as 16:59;1;2025;Quinta-Feira;FECHADO;VIAS DE FATO / AGRESSAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO UTILIZADO - IGNORADO;URBANO;VIA DE ACESSO PUBLICA;PORTO;314390;MURIAE;MG
2025-004289680-001;28/1/25 12:33 PM;De 12:00 as 12:59;1;2025;Terça-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;MERCEARIA / SACOLAO / SUPERMERCADO;SAO SEBASTIAO;316720;SETE LAGOAS;MG
2025-004165512-001;27/1/25 3:21 PM;De 15:00 as 15:59;1;2025;Segunda-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;INSTITUICAO DE ENSINO PUBLICO ESTADUAL;JARDIM GUANABARA;310620;BELO HORIZONTE;MG
2025-004464517-001;27/1/25 1:34 PM;De 13:00 as 13:59;1;2025;Segunda-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;MEIO ELETRONICO (INTERNET OU SMS);URBANO;OUTROS - INSTITUICAO FILANTROPICA / ONG;ESTAÇÃO;310160;ALFENAS;MG
2025-004017981-001;26/1/25 6:45 PM;De 18:00 as 18:59;1;2025;Domingo;FECHADO;LESAO CORPORAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;INSTRUMENTO CONTUNDENTE / CORTANTE / PERFURANTE (ARMA BRANCA);URBANO;CASA;TIRADENTES;313570;JEQUITIBA;MG
2025-003930454-001;26/1/25 2:13 AM;De 02:00 as 02:59;1;2025;Domingo;FECHADO;LESAO CORPORAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;INSTRUMENTO CONTUNDENTE / CORTANTE / PERFURANTE (ARMA BRANCA);URBANO;OUTROS - ESTABELECIMENTOS COMERCIAIS / SERVIC;SANTA TEREZA;312610;FORMIGA;MG
2025-003928089-001;26/1/25 1:20 AM;De 01:00 as 01:59;1;2025;Domingo;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CASA;IVAN ALVES PEREIRA;316930;TRES CORACOES;MG
2025-003749395-001;24/1/25 1:30 PM;De 13:00 as 13:59;1;2025;Sexta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;APARTAMENTO;SAVASSI;310620;BELO HORIZONTE;MG
2025-003675525-001;24/1/25 12:47 PM;De 12:00 as 12:59;1;2025;Sexta-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;VIA DE ACESSO PUBLICA;VILA BRASIL;316720;SETE LAGOAS;MG
2025-003525506-001;23/1/25 2:30 PM;De 14:00 as 14:59;1;2025;Quinta-Feira;FECHADO;VIAS DE FATO / AGRESSAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;VIOLENCIA OU VIAS DE FATO;URBANO;OUTROS - ESTABELECIMENTOS COMERCIAIS / SERVIC;SAVASSI;310620;BELO HORIZONTE;MG
2025-003375751-001;22/1/25 3:29 PM;De 15:00 as 15:59;1;2025;Quarta-Feira;FECHADO;INJURIA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;OUTROS - ESTABELECIMENTOS COMERCIAIS / SERVIC;CENTRO;310620;BELO HORIZONTE;MG
2025-003318687-001;22/1/25 10:29 AM;De 10:00 as 10:59;1;2025;Quarta-Feira;FECHADO;AMEACA;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;ANTIQUARIO / BIBLIOTECA / GALERIA DE ARTE / M;CENTRO;313820;LAVRAS;MG
2025-005201844-001;20/1/25 9:00 PM;De 21:00 as 21:59;1;2025;Segunda-Feira;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;ESCRITA FISICA;URBANO;VIA DE ACESSO PARTICULAR/PRIVADA;VILA DO CEU;313900;MACHADO;MG
2025-002985810-001;20/1/25 12:04 PM;De 12:00 as 12:59;1;2025;Segunda-Feira;FECHADO;VIAS DE FATO / AGRESSAO;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;AGRESSAO FISICA COM EMPREGO DE INSTRUMENTOS;URBANO;VIA DE ACESSO PUBLICA;JARDIM DOS CANDIDES;312230;DIVINOPOLIS;MG
2025-003036495-001;19/1/25 11:40 PM;De 23:00 as 23:59;1;2025;Domingo;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CASA;CENTRO;310665;BERIZAL;MG
2025-002889628-001;19/1/25 9:00 AM;De 09:00 as 09:59;1;2025;Domingo;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CASA;CENTRO;312180;DIONISIO;MG
2025-002741062-001;18/1/25 6:41 PM;De 18:00 as 18:59;1;2025;Sabado;FECHADO;INJURIA RACIAL;CONSUMADO;HOMOFOBIA/LESBOFOBIA/BIFOBIA/TRANSFOBIA;FALA;URBANO;CASA;SANTA PAULA;313670;JUIZ DE FORA;MG
