"local","ano","total_ano"
"Brasil",2017,"2500"
"Norte",2017,"80"
"Rondônia",2017,"13"
"Acre",2017,"3"
"Amazonas",2017,"13"
"Roraima",2017,"6"
"Pará",2017,"38"
"Amapá",2017,"3"
"Tocantins",2017,"4"
"Nordeste",2017,"310"
"Maranhão",2017,"10"
"Piauí",2017,"4"
"Ceará",2017,"92"
"Rio Grande do Norte",2017,"23"
"Paraíba",2017,"49"
"Pernambuco",2017,"51"
"Alagoas",2017,"10"
"Sergipe",2017,"12"
"Bahia",2017,"59"
"Sudeste",2017,"1443"
"Minas Gerais",2017,"197"
"Espírito Santo",2017,"35"
"Rio de Janeiro",2017,"209"
"São Paulo",2017,"1002"
"Sul",2017,"445"
"Paraná",2017,"109"
"Santa Catarina",2017,"215"
"Rio Grande do Sul",2017,"121"
"Centro-Oeste",2017,"222"
"Mato Grosso do Sul",2017,"44"
"Mato Grosso",2017,"15"
"Goiás",2017,"74"
"Distrito Federal",2017,"89"
