"local","ano","total_ano"
"Brasil",2018,"3958"
"Norte",2018,"128"
"Rondônia",2018,"6"
"Acre",2018,"6"
"Amazonas",2018,"18"
"Roraima",2018,"1"
"Pará",2018,"89"
"Amapá",2018,"1"
"Tocantins",2018,"7"
"Nordeste",2018,"541"
"Maranhão",2018,"12"
"Piauí",2018,"17"
"Ceará",2018,"118"
"Rio Grande do Norte",2018,"45"
"Paraíba",2018,"41"
"Pernambuco",2018,"131"
"Alagoas",2018,"39"
"Sergipe",2018,"20"
"Bahia",2018,"118"
"Sudeste",2018,"2363"
"Minas Gerais",2018,"325"
"Espírito Santo",2018,"66"
"Rio de Janeiro",2018,"317"
"São Paulo",2018,"1655"
"Sul",2018,"615"
"Paraná",2018,"175"
"Santa Catarina",2018,"229"
"Rio Grande do Sul",2018,"211"
"Centro-Oeste",2018,"311"
"Mato Grosso do Sul",2018,"56"
"Mato Grosso",2018,"15"
"Goiás",2018,"102"
"Distrito Federal",2018,"138"
