"local","ano","total_ano"
"Brasil",2014,1106440
"Norte",2014,79924
"Rondônia",2014,14042
"Acre",2014,3759
"Amazonas",2014,17707
"Roraima",2014,2534
"Pará",2014,32411
"Amapá",2014,2131
"Tocantins",2014,7340
"Nordeste",2014,259245
"Maranhão",2014,23851
"Piauí",2014,12266
"Ceará",2014,48371
"Rio Grande do Norte",2014,15434
"Paraíba",2014,20537
"Pernambuco",2014,52846
"Alagoas",2014,17550
"Sergipe",2014,8796
"Bahia",2014,59594
"Sudeste",2014,535951
"Minas Gerais",2014,118388
"Espírito Santo",2014,26282
"Rio de Janeiro",2014,93804
"São Paulo",2014,297477
"Sul",2014,137945
"Paraná",2014,64060
"Santa Catarina",2014,32422
"Rio Grande do Sul",2014,41463
"Centro-Oeste",2014,93375
"Mato Grosso do Sul",2014,15366
"Mato Grosso",2014,16107
"Goiás",2014,43394
"Distrito Federal",2014,18508
