"local","ano","total_ano"
"Brasil",2016,1095535
"Norte",2016,81693
"Rondônia",2016,13980
"Acre",2016,5121
"Amazonas",2016,16977
"Roraima",2016,2317
"Pará",2016,33773
"Amapá",2016,2764
"Tocantins",2016,6761
"Nordeste",2016,246399
"Maranhão",2016,23504
"Piauí",2016,10743
"Ceará",2016,44128
"Rio Grande do Norte",2016,15898
"Paraíba",2016,16836
"Pernambuco",2016,50935
"Alagoas",2016,15789
"Sergipe",2016,7832
"Bahia",2016,60734
"Sudeste",2016,539218
"Minas Gerais",2016,110201
"Espírito Santo",2016,26510
"Rio de Janeiro",2016,105962
"São Paulo",2016,296545
"Sul",2016,134157
"Paraná",2016,61868
"Santa Catarina",2016,33071
"Rio Grande do Sul",2016,39218
"Centro-Oeste",2016,94068
"Mato Grosso do Sul",2016,17447
"Mato Grosso",2016,17344
"Goiás",2016,38820
"Distrito Federal",2016,20457
