"local","ano","total_ano"
"Brasil",2013,"1926"
"Norte",2013,"25"
"Rondônia",2013,"5"
"Acre",2013,"-"
"Amazonas",2013,"3"
"Roraima",2013,"-"
"Pará",2013,"12"
"Amapá",2013,"4"
"Tocantins",2013,"1"
"Nordeste",2013,"264"
"Maranhão",2013,"10"
"Piauí",2013,"17"
"Ceará",2013,"104"
"Rio Grande do Norte",2013,"20"
"Paraíba",2013,"12"
"Pernambuco",2013,"40"
"Alagoas",2013,"14"
"Sergipe",2013,"1"
"Bahia",2013,"46"
"Sudeste",2013,"1279"
"Minas Gerais",2013,"109"
"Espírito Santo",2013,"23"
"Rio de Janeiro",2013,"99"
"São Paulo",2013,"1048"
"Sul",2013,"235"
"Paraná",2013,"80"
"Santa Catarina",2013,"81"
"Rio Grande do Sul",2013,"74"
"Centro-Oeste",2013,"123"
"Mato Grosso do Sul",2013,"31"
"Mato Grosso",2013,"15"
"Goiás",2013,"31"
"Distrito Federal",2013,"46"
