"local","ano","total_ano"
"Brasil",2019,"3707"
"Norte",2019,"128"
"Rondônia",2019,"17"
"Acre",2019,"6"
"Amazonas",2019,"22"
"Roraima",2019,"7"
"Pará",2019,"63"
"Amapá",2019,"5"
"Tocantins",2019,"8"
"Nordeste",2019,"508"
"Maranhão",2019,"15"
"Piauí",2019,"15"
"Ceará",2019,"107"
"Rio Grande do Norte",2019,"53"
"Paraíba",2019,"29"
"Pernambuco",2019,"124"
"Alagoas",2019,"25"
"Sergipe",2019,"14"
"Bahia",2019,"126"
"Sudeste",2019,"2270"
"Minas Gerais",2019,"351"
"Espírito Santo",2019,"56"
"Rio de Janeiro",2019,"410"
"São Paulo",2019,"1453"
"Sul",2019,"545"
"Paraná",2019,"185"
"Santa Catarina",2019,"180"
"Rio Grande do Sul",2019,"180"
"Centro-Oeste",2019,"256"
"Mato Grosso do Sul",2019,"35"
"Mato Grosso",2019,"31"
"Goiás",2019,"58"
"Distrito Federal",2019,"132"
