"local","ano","total_ano"
"Brasil",2020,"3864"
"Norte",2020,"168"
"Rondônia",2020,"15"
"Acre",2020,"5"
"Amazonas",2020,"43"
"Roraima",2020,"3"
"Pará",2020,"91"
"Amapá",2020,"4"
"Tocantins",2020,"7"
"Nordeste",2020,"659"
"Maranhão",2020,"28"
"Piauí",2020,"18"
"Ceará",2020,"178"
"Rio Grande do Norte",2020,"44"
"Paraíba",2020,"55"
"Pernambuco",2020,"166"
"Alagoas",2020,"48"
"Sergipe",2020,"20"
"Bahia",2020,"102"
"Sudeste",2020,"2235"
"Minas Gerais",2020,"288"
"Espírito Santo",2020,"58"
"Rio de Janeiro",2020,"287"
"São Paulo",2020,"1602"
"Sul",2020,"497"
"Paraná",2020,"201"
"Santa Catarina",2020,"145"
"Rio Grande do Sul",2020,"151"
"Centro-Oeste",2020,"305"
"Mato Grosso do Sul",2020,"59"
"Mato Grosso",2020,"22"
"Goiás",2020,"131"
"Distrito Federal",2020,"93"
