"local","ano","total_ano"
"Brasil",2015,"2986"
"Norte",2015,"114"
"Rondônia",2015,"11"
"Acre",2015,"6"
"Amazonas",2015,"54"
"Roraima",2015,"6"
"Pará",2015,"32"
"Amapá",2015,"3"
"Tocantins",2015,"2"
"Nordeste",2015,"553"
"Maranhão",2015,"24"
"Piauí",2015,"9"
"Ceará",2015,"223"
"Rio Grande do Norte",2015,"31"
"Paraíba",2015,"31"
"Pernambuco",2015,"129"
"Alagoas",2015,"29"
"Sergipe",2015,"16"
"Bahia",2015,"61"
"Sudeste",2015,"1725"
"Minas Gerais",2015,"201"
"Espírito Santo",2015,"37"
"Rio de Janeiro",2015,"337"
"São Paulo",2015,"1150"
"Sul",2015,"379"
"Paraná",2015,"137"
"Santa Catarina",2015,"139"
"Rio Grande do Sul",2015,"103"
"Centro-Oeste",2015,"215"
"Mato Grosso do Sul",2015,"45"
"Mato Grosso",2015,"11"
"Goiás",2015,"95"
"Distrito Federal",2015,"64"
