"local","ano","total_ano"
"Brasil",2021,5602
"Norte",2021,218
"Rondônia",2021,31
"Acre",2021,7
"Amazonas",2021,46
"Roraima",2021,17
"Pará",2021,91
"Amapá",2021,14
"Tocantins",2021,12
"Nordeste",2021,1048
"Maranhão",2021,39
"Piauí",2021,23
"Ceará",2021,250
"Rio Grande do Norte",2021,101
"Paraíba",2021,90
"Pernambuco",2021,244
"Alagoas",2021,94
"Sergipe",2021,22
"Bahia",2021,185
"Sudeste",2021,3133
"Minas Gerais",2021,516
"Espírito Santo",2021,81
"Rio de Janeiro",2021,467
"São Paulo",2021,2069
"Sul",2021,745
"Paraná",2021,309
"Santa Catarina",2021,224
"Rio Grande do Sul",2021,212
"Centro-Oeste",2021,458
"Mato Grosso do Sul",2021,94
"Mato Grosso",2021,91
