"local","ano","total_ano"
"Brasil",2017,1070376
"Norte",2017,81165
"Rondônia",2017,13695
"Acre",2017,5627
"Amazonas",2017,16131
"Roraima",2017,2232
"Pará",2017,33768
"Amapá",2017,3071
"Tocantins",2017,6641
"Nordeste",2017,241281
"Maranhão",2017,24317
"Piauí",2017,10033
"Ceará",2017,38826
"Rio Grande do Norte",2017,16884
"Paraíba",2017,16487
"Pernambuco",2017,47864
"Alagoas",2017,14747
"Sergipe",2017,7545
"Bahia",2017,64578
"Sudeste",2017,522580
"Minas Gerais",2017,110690
"Espírito Santo",2017,24490
"Rio de Janeiro",2017,95457
"São Paulo",2017,291943
"Sul",2017,134076
"Paraná",2017,60609
"Santa Catarina",2017,34098
"Rio Grande do Sul",2017,39369
"Centro-Oeste",2017,91274
"Mato Grosso do Sul",2017,16650
"Mato Grosso",2017,17580
"Goiás",2017,36689
"Distrito Federal",2017,20355
