"local","ano","total_ano"
"Brasil",2022,970041
"Norte",2022,80863
"Rondônia",2022,11923
"Acre",2022,4599
"Amazonas",2022,14093
"Roraima",2022,2691
"Pará",2022,37308
"Amapá",2022,3093
"Tocantins",2022,7156
"Nordeste",2022,219935
"Maranhão",2022,23534
"Piauí",2022,8770
"Ceará",2022,34535
"Rio Grande do Norte",2022,13247
"Paraíba",2022,16700
"Pernambuco",2022,42103
"Alagoas",2022,13046
"Sergipe",2022,7466
"Bahia",2022,60534
"Sudeste",2022,454053
"Minas Gerais",2022,104985
"Espírito Santo",2022,23209
"Rio de Janeiro",2022,79093
"São Paulo",2022,246766
"Sul",2022,129125
"Paraná",2022,55929
"Santa Catarina",2022,35621
"Rio Grande do Sul",2022,37575
"Centro-Oeste",2022,86065
"Mato Grosso do Sul",2022,15038
"Mato Grosso",2022,17986
"Goiás",2022,32539
"Distrito Federal",2022,20502
