"local","ano","total_ano"
"Brasil",2019,"5349"
"Norte",2019,"216"
"Rondônia",2019,"29"
"Acre",2019,"9"
"Amazonas",2019,"46"
"Roraima",2019,"11"
"Pará",2019,"96"
"Amapá",2019,"12"
"Tocantins",2019,"13"
"Nordeste",2019,"892"
"Maranhão",2019,"22"
"Piauí",2019,"27"
"Ceará",2019,"199"
"Rio Grande do Norte",2019,"71"
"Paraíba",2019,"83"
"Pernambuco",2019,"217"
"Alagoas",2019,"53"
"Sergipe",2019,"21"
"Bahia",2019,"199"
"Sudeste",2019,"3239"
"Minas Gerais",2019,"464"
"Espírito Santo",2019,"87"
"Rio de Janeiro",2019,"568"
"São Paulo",2019,"2120"
"Sul",2019,"646"
"Paraná",2019,"240"
"Santa Catarina",2019,"195"
"Rio Grande do Sul",2019,"211"
"Centro-Oeste",2019,"356"
"Mato Grosso do Sul",2019,"101"
"Mato Grosso",2019,"30"
"Goiás",2019,"77"
"Distrito Federal",2019,"148"
