"local","ano","total_ano"
"Brasil",2023,940799
"Norte",2023,77637
"Rondônia",2023,12266
"Acre",2023,5474
"Amazonas",2023,14564
"Roraima",2023,2725
"Pará",2023,32505
"Amapá",2023,2797
"Tocantins",2023,7306
"Nordeste",2023,216173
"Maranhão",2023,24308
"Piauí",2023,9802
"Ceará",2023,35214
"Rio Grande do Norte",2023,12835
"Paraíba",2023,15906
"Pernambuco",2023,39534
"Alagoas",2023,14241
"Sergipe",2023,6768
"Bahia",2023,57565
"Sudeste",2023,431153
"Minas Gerais",2023,101940
"Espírito Santo",2023,22360
"Rio de Janeiro",2023,71650
"São Paulo",2023,235203
"Sul",2023,129070
"Paraná",2023,57138
"Santa Catarina",2023,35658
"Rio Grande do Sul",2023,36274
"Centro-Oeste",2023,86766
"Mato Grosso do Sul",2023,15150
"Mato Grosso",2023,20274
"Goiás",2023,32518
"Distrito Federal",2023,18824
