"local","ano","total_ano"
"Brasil",2018,1053467
"Norte",2018,80527
"Rondônia",2018,13541
"Acre",2018,6009
"Amazonas",2018,13954
"Roraima",2018,2020
"Pará",2018,36153
"Amapá",2018,2133
"Tocantins",2018,6717
"Nordeste",2018,243102
"Maranhão",2018,22731
"Piauí",2018,9984
"Ceará",2018,38905
"Rio Grande do Norte",2018,14559
"Paraíba",2018,16127
"Pernambuco",2018,49454
"Alagoas",2018,15096
"Sergipe",2018,7623
"Bahia",2018,68623
"Sudeste",2018,505832
"Minas Gerais",2018,107025
"Espírito Santo",2018,24749
"Rio de Janeiro",2018,94159
"São Paulo",2018,279899
"Sul",2018,129693
"Paraná",2018,58851
"Santa Catarina",2018,32815
"Rio Grande do Sul",2018,38027
"Centro-Oeste",2018,94313
"Mato Grosso do Sul",2018,17169
"Mato Grosso",2018,18818
"Goiás",2018,38131
"Distrito Federal",2018,20195
