"local","ano","total_ano"
"Brasil",2017,"3387"
"Norte",2017,"129"
"Rondônia",2017,"10"
"Acre",2017,"16"
"Amazonas",2017,"22"
"Roraima",2017,"5"
"Pará",2017,"62"
"Amapá",2017,"7"
"Tocantins",2017,"7"
"Nordeste",2017,"466"
"Maranhão",2017,"4"
"Piauí",2017,"18"
"Ceará",2017,"125"
"Rio Grande do Norte",2017,"48"
"Paraíba",2017,"40"
"Pernambuco",2017,"105"
"Alagoas",2017,"34"
"Sergipe",2017,"11"
"Bahia",2017,"81"
"Sudeste",2017,"2093"
"Minas Gerais",2017,"250"
"Espírito Santo",2017,"49"
"Rio de Janeiro",2017,"299"
"São Paulo",2017,"1495"
"Sul",2017,"427"
"Paraná",2017,"164"
"Santa Catarina",2017,"135"
"Rio Grande do Sul",2017,"128"
"Centro-Oeste",2017,"272"
"Mato Grosso do Sul",2017,"73"
"Mato Grosso",2017,"21"
"Goiás",2017,"96"
"Distrito Federal",2017,"82"
