"local","ano","total_ano"
"Brasil",2016,"2943"
"Norte",2016,"114"
"Rondônia",2016,"15"
"Acre",2016,"5"
"Amazonas",2016,"39"
"Roraima",2016,"2"
"Pará",2016,"41"
"Amapá",2016,"5"
"Tocantins",2016,"7"
"Nordeste",2016,"467"
"Maranhão",2016,"15"
"Piauí",2016,"15"
"Ceará",2016,"138"
"Rio Grande do Norte",2016,"32"
"Paraíba",2016,"30"
"Pernambuco",2016,"119"
"Alagoas",2016,"20"
"Sergipe",2016,"10"
"Bahia",2016,"88"
"Sudeste",2016,"1731"
"Minas Gerais",2016,"196"
"Espírito Santo",2016,"30"
"Rio de Janeiro",2016,"303"
"São Paulo",2016,"1202"
"Sul",2016,"380"
"Paraná",2016,"112"
"Santa Catarina",2016,"137"
"Rio Grande do Sul",2016,"131"
"Centro-Oeste",2016,"251"
"Mato Grosso do Sul",2016,"74"
"Mato Grosso",2016,"13"
"Goiás",2016,"91"
"Distrito Federal",2016,"73"
