"local","ano","total_ano"
"Brasil",2015,"2628"
"Norte",2015,"116"
"Rondônia",2015,"7"
"Acre",2015,"-"
"Amazonas",2015,"44"
"Roraima",2015,"1"
"Pará",2015,"55"
"Amapá",2015,"3"
"Tocantins",2015,"6"
"Nordeste",2015,"494"
"Maranhão",2015,"50"
"Piauí",2015,"7"
"Ceará",2015,"246"
"Rio Grande do Norte",2015,"17"
"Paraíba",2015,"18"
"Pernambuco",2015,"74"
"Alagoas",2015,"19"
"Sergipe",2015,"7"
"Bahia",2015,"56"
"Sudeste",2015,"1352"
"Minas Gerais",2015,"177"
"Espírito Santo",2015,"42"
"Rio de Janeiro",2015,"275"
"São Paulo",2015,"858"
"Sul",2015,"478"
"Paraná",2015,"160"
"Santa Catarina",2015,"210"
"Rio Grande do Sul",2015,"108"
"Centro-Oeste",2015,"188"
"Mato Grosso do Sul",2015,"23"
"Mato Grosso",2015,"14"
"Goiás",2015,"95"
"Distrito Federal",2015,"56"
