"local","ano","total_ano"
"Brasil",2023,"4175"
"Norte",2023,"144"
"Rondônia",2023,"12"
"Acre",2023,"8"
"Amazonas",2023,"43"
"Roraima",2023,"12"
"Pará",2023,"47"
"Amapá",2023,"6"
"Tocantins",2023,"16"
"Nordeste",2023,"654"
"Maranhão",2023,"28"
"Piauí",2023,"29"
"Ceará",2023,"200"
"Rio Grande do Norte",2023,"65"
"Paraíba",2023,"61"
"Pernambuco",2023,"118"
"Alagoas",2023,"25"
"Sergipe",2023,"14"
"Bahia",2023,"114"
"Sudeste",2023,"2468"
"Minas Gerais",2023,"420"
"Espírito Santo",2023,"70"
"Rio de Janeiro",2023,"337"
"São Paulo",2023,"1641"
"Sul",2023,"577"
"Paraná",2023,"191"
"Santa Catarina",2023,"220"
"Rio Grande do Sul",2023,"166"
"Centro-Oeste",2023,"332"
"Mato Grosso do Sul",2023,"63"
"Mato Grosso",2023,"47"
"Goiás",2023,"115"
"Distrito Federal",2023,"107"
