"local","ano","total_ano"
"Brasil",2013,"1774"
"Norte",2013,"30"
"Rondônia",2013,"5"
"Acre",2013,"-"
"Amazonas",2013,"4"
"Roraima",2013,"2"
"Pará",2013,"13"
"Amapá",2013,"2"
"Tocantins",2013,"4"
"Nordeste",2013,"233"
"Maranhão",2013,"6"
"Piauí",2013,"7"
"Ceará",2013,"80"
"Rio Grande do Norte",2013,"15"
"Paraíba",2013,"17"
"Pernambuco",2013,"48"
"Alagoas",2013,"3"
"Sergipe",2013,"4"
"Bahia",2013,"53"
"Sudeste",2013,"1129"
"Minas Gerais",2013,"100"
"Espírito Santo",2013,"20"
"Rio de Janeiro",2013,"112"
"São Paulo",2013,"897"
"Sul",2013,"290"
"Paraná",2013,"88"
"Santa Catarina",2013,"126"
"Rio Grande do Sul",2013,"76"
"Centro-Oeste",2013,"92"
"Mato Grosso do Sul",2013,"12"
"Mato Grosso",2013,"14"
"Goiás",2013,"29"
"Distrito Federal",2013,"37"
