"local","ano","total_ano"
"Brasil",2014,"2414"
"Norte",2014,"91"
"Rondônia",2014,"8"
"Acre",2014,"3"
"Amazonas",2014,"20"
"Roraima",2014,"3"
"Pará",2014,"29"
"Amapá",2014,"18"
"Tocantins",2014,"10"
"Nordeste",2014,"404"
"Maranhão",2014,"45"
"Piauí",2014,"1"
"Ceará",2014,"102"
"Rio Grande do Norte",2014,"20"
"Paraíba",2014,"16"
"Pernambuco",2014,"121"
"Alagoas",2014,"3"
"Sergipe",2014,"2"
"Bahia",2014,"94"
"Sudeste",2014,"1343"
"Minas Gerais",2014,"163"
"Espírito Santo",2014,"41"
"Rio de Janeiro",2014,"241"
"São Paulo",2014,"898"
"Sul",2014,"392"
"Paraná",2014,"81"
"Santa Catarina",2014,"205"
"Rio Grande do Sul",2014,"106"
"Centro-Oeste",2014,"184"
"Mato Grosso do Sul",2014,"32"
"Mato Grosso",2014,"12"
"Goiás",2014,"72"
"Distrito Federal",2014,"68"
