"local","ano","total_ano"
"Brasil",2013,1052477
"Norte",2013,76007
"Rondônia",2013,13082
"Acre",2013,2745
"Amazonas",2013,17330
"Roraima",2013,2569
"Pará",2013,30969
"Amapá",2013,1954
"Tocantins",2013,7358
"Nordeste",2013,246428
"Maranhão",2013,26458
"Piauí",2013,13377
"Ceará",2013,45754
"Rio Grande do Norte",2013,14316
"Paraíba",2013,19538
"Pernambuco",2013,47970
"Alagoas",2013,16049
"Sergipe",2013,8162
"Bahia",2013,54804
"Sudeste",2013,507438
"Minas Gerais",2013,114062
"Espírito Santo",2013,25023
"Rio de Janeiro",2013,88036
"São Paulo",2013,280317
"Sul",2013,133600
"Paraná",2013,60991
"Santa Catarina",2013,31358
"Rio Grande do Sul",2013,41251
"Centro-Oeste",2013,89004
"Mato Grosso do Sul",2013,14027
"Mato Grosso",2013,15324
"Goiás",2013,41455
"Distrito Federal",2013,18198
