"local","ano","total_ano"
"Brasil",2015,1137348
"Norte",2015,82751
"Rondônia",2015,14892
"Acre",2015,5244
"Amazonas",2015,18380
"Roraima",2015,2575
"Pará",2015,31874
"Amapá",2015,2304
"Tocantins",2015,7482
"Nordeste",2015,258148
"Maranhão",2015,25855
"Piauí",2015,12377
"Ceará",2015,47590
"Rio Grande do Norte",2015,16104
"Paraíba",2015,18974
"Pernambuco",2015,50919
"Alagoas",2015,18049
"Sergipe",2015,8241
"Bahia",2015,60039
"Sudeste",2015,560029
"Minas Gerais",2015,120213
"Espírito Santo",2015,28359
"Rio de Janeiro",2015,106066
"São Paulo",2015,305391
"Sul",2015,139849
"Paraná",2015,65264
"Santa Catarina",2015,33169
"Rio Grande do Sul",2015,41416
"Centro-Oeste",2015,96571
"Mato Grosso do Sul",2015,17420
"Mato Grosso",2015,16327
"Goiás",2015,42925
"Distrito Federal",2015,19899
