"local","ano","total_ano"
"Brasil",2014,"2440"
"Norte",2014,"76"
"Rondônia",2014,"10"
"Acre",2014,"3"
"Amazonas",2014,"25"
"Roraima",2014,"2"
"Pará",2014,"29"
"Amapá",2014,"6"
"Tocantins",2014,"1"
"Nordeste",2014,"257"
"Maranhão",2014,"25"
"Piauí",2014,"13"
"Ceará",2014,"60"
"Rio Grande do Norte",2014,"27"
"Paraíba",2014,"15"
"Pernambuco",2014,"56"
"Alagoas",2014,"15"
"Sergipe",2014,"6"
"Bahia",2014,"40"
"Sudeste",2014,"1602"
"Minas Gerais",2014,"168"
"Espírito Santo",2014,"22"
"Rio de Janeiro",2014,"260"
"São Paulo",2014,"1152"
"Sul",2014,"356"
"Paraná",2014,"113"
"Santa Catarina",2014,"137"
"Rio Grande do Sul",2014,"106"
"Centro-Oeste",2014,"149"
"Mato Grosso do Sul",2014,"19"
"Mato Grosso",2014,"11"
"Goiás",2014,"58"
"Distrito Federal",2014,"61"
