"local","ano","total_ano"
"Brasil",2016,"2411"
"Norte",2016,"81"
"Rondônia",2016,"8"
"Acre",2016,"-"
"Amazonas",2016,"31"
"Roraima",2016,"2"
"Pará",2016,"35"
"Amapá",2016,"1"
"Tocantins",2016,"4"
"Nordeste",2016,"301"
"Maranhão",2016,"5"
"Piauí",2016,"7"
"Ceará",2016,"83"
"Rio Grande do Norte",2016,"28"
"Paraíba",2016,"28"
"Pernambuco",2016,"48"
"Alagoas",2016,"12"
"Sergipe",2016,"11"
"Bahia",2016,"79"
"Sudeste",2016,"1394"
"Minas Gerais",2016,"197"
"Espírito Santo",2016,"30"
"Rio de Janeiro",2016,"275"
"São Paulo",2016,"892"
"Sul",2016,"452"
"Paraná",2016,"118"
"Santa Catarina",2016,"245"
"Rio Grande do Sul",2016,"89"
"Centro-Oeste",2016,"183"
"Mato Grosso do Sul",2016,"32"
"Mato Grosso",2016,"4"
"Goiás",2016,"75"
"Distrito Federal",2016,"72"
