"local","ano","total_ano"
"Brasil",2019,1024979
"Norte",2019,80273
"Rondônia",2019,12762
"Acre",2019,4431
"Amazonas",2019,15815
"Roraima",2019,2091
"Pará",2019,36249
"Amapá",2019,2806
"Tocantins",2019,6119
"Nordeste",2019,237760
"Maranhão",2019,21885
"Piauí",2019,9437
"Ceará",2019,36429
"Rio Grande do Norte",2019,14868
"Paraíba",2019,15714
"Pernambuco",2019,50436
"Alagoas",2019,15174
"Sergipe",2019,7260
"Bahia",2019,66557
"Sudeste",2019,485572
"Minas Gerais",2019,105387
"Espírito Santo",2019,23870
"Rio de Janeiro",2019,86394
"São Paulo",2019,269921
"Sul",2019,127933
"Paraná",2019,57479
"Santa Catarina",2019,33160
"Rio Grande do Sul",2019,37294
"Centro-Oeste",2019,93138
"Mato Grosso do Sul",2019,15613
"Mato Grosso",2019,19746
"Goiás",2019,37369
"Distrito Federal",2019,20410
