"local","ano","total_ano"
"Brasil",2021,3600
"Norte",2021,130
"Rondônia",2021,18
"Acre",2021,4
"Amazonas",2021,21
"Roraima",2021,19
"Pará",2021,49
"Amapá",2021,13
"Tocantins",2021,6
"Nordeste",2021,566
"Maranhão",2021,47
"Piauí",2021,7
"Ceará",2021,122
"Rio Grande do Norte",2021,49
"Paraíba",2021,49
"Pernambuco",2021,115
"Alagoas",2021,45
"Sergipe",2021,14
"Bahia",2021,118
"Sudeste",2021,1879
"Minas Gerais",2021,299
"Espírito Santo",2021,63
"Rio de Janeiro",2021,267
"São Paulo",2021,1250
"Sul",2021,489
"Paraná",2021,177
"Santa Catarina",2021,180
"Rio Grande do Sul",2021,132
"Centro-Oeste",2021,536
"Mato Grosso do Sul",2021,42
"Mato Grosso",2021,285
