"local","ano","total_ano"
"Brasil",2018,"5562"
"Norte",2018,"195"
"Rondônia",2018,"18"
"Acre",2018,"12"
"Amazonas",2018,"31"
"Roraima",2018,"4"
"Pará",2018,"112"
"Amapá",2018,"7"
"Tocantins",2018,"11"
"Nordeste",2018,"896"
"Maranhão",2018,"14"
"Piauí",2018,"28"
"Ceará",2018,"212"
"Rio Grande do Norte",2018,"69"
"Paraíba",2018,"64"
"Pernambuco",2018,"260"
"Alagoas",2018,"56"
"Sergipe",2018,"23"
"Bahia",2018,"170"
"Sudeste",2018,"3326"
"Minas Gerais",2018,"412"
"Espírito Santo",2018,"63"
"Rio de Janeiro",2018,"406"
"São Paulo",2018,"2445"
"Sul",2018,"752"
"Paraná",2018,"283"
"Santa Catarina",2018,"200"
"Rio Grande do Sul",2018,"269"
"Centro-Oeste",2018,"393"
"Mato Grosso do Sul",2018,"110"
"Mato Grosso",2018,"31"
"Goiás",2018,"116"
"Distrito Federal",2018,"136"
